Passenger ID;First Name;Last Name;Gender;Age;Nationality;Airport Name;Airport Country Code;Country Name;Airport Continent;Continents;Departure Date;Arrival Airport;Pilot Name;Flight Status;Ticket Type;Passenger Status
2MwBUd;Lilli;Sarath;Female;87;Sweden;White Mountain Airport;US;United States;NAM;North America;7/20/2022;WMO;Lilli Sarath;Delayed;Business;On Time
F6FIhA;Franz;Roset;Male;23;Greece;Southwest Florida International Airport;US;United States;NAM;North America;3/24/2022;RSW;Franz Roset;Cancelled;Business;On Time
fFCRXo;Natalya;Offner;Female;23;Czech Republic;South Galway Airport;AU;Australia;OC;Oceania;11/10/2022;ZGL;Natalya Offner;Cancelled;Business;On Time
MR979m;Genevra;Shipperbottom;Female;41;Ethiopia;Doini Airport;PG;Papua New Guinea;OC;Oceania;7/6/2022;DOI;Genevra Shipperbottom;On Time;Business;On Time
HOUKta;Francine;Adolfsen;Female;54;Indonesia;Nanjing Lukou Airport;CN;China;AS;Asia;10/11/2022;NKG;Francine Adolfsen;Cancelled;Business;On Time
ycRswR;Cairistiona;Tummond;Female;52;Tanzania;Mundo Maya International Airport;GT;Guatemala;NAM;North America;5/25/2022;FRS;Cairistiona Tummond;Cancelled;Business;On Time
swq47m;Kelci;Colliver;Female;39;China;Matsu Nangan Airport;TW;Taiwan, Province of China;AS;Asia;10/27/2022;LZN;Kelci Colliver;On Time;Business;On Time
rUPU18;Denys;Endricci;Male;33;Nigeria;Biju Patnaik Airport;IN;India;AS;Asia;7/22/2022;BBI;Denys Endricci;Delayed;Business;On Time
k2G45D;Findley;Godleman;Male;89;Indonesia;Tamchakett Airport;MR;Mauritania;AF;Africa;10/25/2022;THT;Findley Godleman;Delayed;Business;On Time
udSiKS;Fidelio;Guerry;Male;3;China;Yuruf Airport;ID;Indonesia;AS;Asia;5/2/2022;RUF;Fidelio Guerry;Delayed;Business;On Time
zaa5OO;Krishnah;Dabels;Male;54;Russia;Monte Carmelo Airport;BR;Brazil;SAM;South America;9/14/2022;0;Krishnah Dabels;On Time;Business;On Time
ZE7IB5;Diannne;Samter;Female;73;Cameroon;Vads? Airport;NO;Norway;EU;Europe;11/25/2022;VDS;Diannne Samter;Cancelled;Business;On Time
llbqHF;Inge;Hewins;Female;30;Morocco;Fakfak Airport;ID;Indonesia;AS;Asia;4/9/2022;FKQ;Inge Hewins;Cancelled;Business;On Time
MQFk2E;Dermot;Stainburn;Male;54;Armenia;Islita Airport;CR;Costa Rica;NAM;North America;7/15/2022;PBP;Dermot Stainburn;Cancelled;Business;On Time
3CAHBo;Ajay;Durward;Female;26;Russia;Jo?o Paulo II Airport;PT;Portugal;EU;Europe;8/26/2022;PDL;Ajay Durward;On Time;Business;On Time
KTegxQ;Constancy;Darke;Female;51;China;Batticaloa Airport;LK;Sri Lanka;AS;Asia;2/12/2022;BTC;Constancy Darke;Cancelled;Business;On Time
hXhRFH;Cy;Servante;Male;78;China;Omar N Bradley Airport;US;United States;NAM;North America;5/19/2022;MBY;Cy Servante;Cancelled;Business;On Time
RXha8e;Lennard;Giorgi;Male;43;Peru;Lihue Airport;US;United States;NAM;North America;1/31/2022;LIH;Lennard Giorgi;On Time;Business;On Time
phfnHI;Cordie;Rosenberger;Female;3;Brazil;Spirit of St Louis Airport;US;United States;NAM;North America;7/17/2022;SUS;Cordie Rosenberger;On Time;Business;On Time
cYDvaj;Noelyn;Penquet;Female;80;Brazil;Tahsis Seaplane Base;CA;Canada;NAM;North America;11/16/2022;ZTS;Noelyn Penquet;On Time;Business;On Time
Utv847;Frank;Greenhough;Male;52;Philippines;Mururoa Atoll Airport;PF;French Polynesia;OC;Oceania;2/6/2022;UOA;Frank Greenhough;On Time;Business;On Time
VxH2IW;Tan;Connold;Male;73;Sweden;Denver International Airport;US;United States;NAM;North America;5/7/2022;DEN;Tan Connold;On Time;Business;On Time
odEULc;Star;Casford;Female;49;Greece;Arly Airport;BF;Burkina Faso;AF;Africa;10/29/2022;ARL;Star Casford;Cancelled;Business;On Time
5fH1h6;Travers;Selwyne;Male;85;Colombia;Springfield Branson National Airport;US;United States;NAM;North America;8/9/2022;SGF;Travers Selwyne;Cancelled;Business;On Time
bf9LOz;Randie;Jankin;Male;68;Mexico;Paradise Island Airport;MZ;Mozambique;AF;Africa;10/29/2022;NTC;Randie Jankin;On Time;Business;On Time
OI5AwZ;Henryetta;Noice;Female;36;Chile;Merritt Airport;CA;Canada;NAM;North America;11/3/2022;YMB;Henryetta Noice;Delayed;Business;On Time
lh0OoV;Fons;Schrieves;Male;14;Albania;Naval Outlying Field Imperial Beach (Ream Field);US;United States;NAM;North America;9/26/2022;NRS;Fons Schrieves;On Time;Business;On Time
7K0lgK;Lissa;Thynn;Female;74;Luxembourg;In Guezzam Airport;DZ;Algeria;AF;Africa;1/20/2022;INF;Lissa Thynn;Delayed;Business;On Time
8P7qZJ;Mattias;Darrell;Male;78;Honduras;Aldan Airport;RU;Russian Federation;AS;Asia;8/7/2022;ADH;Mattias Darrell;Cancelled;Business;On Time
yK4MWF;Cirilo;Camoletto;Male;19;China;Bhojpur Airport;NP;Nepal;AS;Asia;12/10/2022;BHP;Cirilo Camoletto;Delayed;Business;On Time
1cYnY2;Aeriela;Clarke;Female;70;Portugal;Gorna Oryahovitsa Airport;BG;Bulgaria;EU;Europe;9/25/2022;GOZ;Aeriela Clarke;On Time;Business;On Time
LkZ2bb;Marjory;Franz;Female;46;Nigeria;Hattiesburg Laurel Regional Airport;US;United States;NAM;North America;7/27/2022;PIB;Marjory Franz;Cancelled;Business;On Time
EhG0RS;Rodolph;Grewcock;Male;23;Kazakhstan;Nalchik Airport;RU;Russian Federation;EU;Europe;11/26/2022;NAL;Rodolph Grewcock;Delayed;Business;On Time
p2BWbE;Justinn;Ishchenko;Female;54;Pakistan;Venice Municipal Airport;US;United States;NAM;North America;4/1/2022;VNC;Justinn Ishchenko;On Time;Business;On Time
GkqKuy;Winne;Cowland;Female;73;France;Tanda Tula Airport;ZA;South Africa;AF;Africa;6/17/2022;TDT;Winne Cowland;Cancelled;Business;On Time
nhuv0J;Gabriella;Patry;Female;65;China;Lar Airport;IR;Iran, Islamic Republic of;AS;Asia;7/31/2022;LRR;Gabriella Patry;Delayed;Business;On Time
AZ1nqj;Tann;McCroary;Male;2;Poland;Stewart International Airport;US;United States;NAM;North America;7/6/2022;SWF;Tann McCroary;Cancelled;Business;On Time
vXv4QT;Ebony;Knappitt;Female;7;Russia;Genoa Cristoforo Colombo Airport;IT;Italy;EU;Europe;12/18/2022;GOA;Ebony Knappitt;On Time;Business;On Time
wophuL;Piggy;Hugle;Male;39;Philippines;Buka Airport;PG;Papua New Guinea;OC;Oceania;10/29/2022;BUA;Piggy Hugle;Delayed;Business;On Time
VBu4gW;Lisle;Floyd;Male;25;China;Cop?n Ruinas Airport;HN;Honduras;NAM;North America;7/14/2022;RUY;Lisle Floyd;On Time;Business;On Time
jtdRqK;Leroi;Raeburn;Male;88;Brazil;Waycross Ware County Airport;US;United States;NAM;North America;9/17/2022;AYS;Leroi Raeburn;Cancelled;Business;On Time
iM1RBR;Nicole;Gages;Female;54;South Africa;En Nahud Airport;SD;Sudan;AF;Africa;5/18/2022;NUD;Nicole Gages;Cancelled;Business;On Time
CdWmHb;Mariele;Lucius;Female;33;Ukraine;Memorial Field;US;United States;NAM;North America;11/28/2022;HOT;Mariele Lucius;Cancelled;Business;On Time
UOfHC1;Sherwood;Woolaston;Male;80;Portugal;Tarama Airport;JP;Japan;AS;Asia;4/13/2022;TRA;Sherwood Woolaston;On Time;Business;On Time
56InnO;Ag;Gumby;Female;76;China;Akita Airport;JP;Japan;AS;Asia;6/3/2022;AXT;Ag Gumby;Delayed;Business;On Time
nKTeJu;Basil;Canon;Male;18;Portugal;Hatzfeldhaven Airport;PG;Papua New Guinea;OC;Oceania;5/25/2022;HAZ;Basil Canon;Cancelled;Business;On Time
jRfZM5;Care;Kearton;Male;4;Kenya;Tapini Airport;PG;Papua New Guinea;OC;Oceania;7/30/2022;TPI;Care Kearton;Cancelled;Business;On Time
dkNtb8;Violetta;Francois;Female;85;Indonesia;Casa De Campo International Airport;DO;Dominican Republic;NAM;North America;4/4/2022;LRM;Violetta Francois;Delayed;Business;On Time
bk2hAK;Adlai;Tilmouth;Male;49;Serbia;Owatonna Degner Regional Airport;US;United States;NAM;North America;1/4/2022;OWA;Adlai Tilmouth;On Time;Business;On Time
sZQluf;Gwenore;Smaridge;Female;7;Russia;Handan Airport;CN;China;AS;Asia;3/8/2022;HDG;Gwenore Smaridge;Delayed;Business;On Time
OHPtDJ;Kurt;Marling;Male;65;Indonesia;Mal Airport;PG;Papua New Guinea;OC;Oceania;10/26/2022;MMV;Kurt Marling;Delayed;Business;On Time
PRT2e0;Artemus;Brewitt;Male;27;China;F?skr??sfj?r?ur Airport;IS;Iceland;EU;Europe;1/13/2022;FAS;Artemus Brewitt;On Time;Business;On Time
Avxiy6;Sergio;Edmonson;Male;10;Sweden;Omora Airport;PG;Papua New Guinea;OC;Oceania;8/1/2022;OSE;Sergio Edmonson;On Time;Business;On Time
tAltei;Maia;Kidwell;Female;45;Philippines;Fort Mcpherson Airport;CA;Canada;NAM;North America;12/4/2022;ZFM;Maia Kidwell;Delayed;Business;On Time
FExnPN;Reinaldo;Caines;Male;76;Indonesia;Newcastle Airport;GB;United Kingdom;EU;Europe;3/17/2022;NCL;Reinaldo Caines;On Time;Business;On Time
94BCfr;Lincoln;Casburn;Male;6;Vietnam;Guanghan Airport;CN;China;AS;Asia;2/24/2022;GHN;Lincoln Casburn;Cancelled;Business;On Time
nHu1FR;Kelsy;Danhel;Female;21;Indonesia;Pureni Airport;PG;Papua New Guinea;OC;Oceania;8/15/2022;PUI;Kelsy Danhel;Delayed;Business;On Time
Reruzb;Des;Sutehall;Male;65;Indonesia;Long Island Airport;PG;Papua New Guinea;OC;Oceania;10/23/2022;LSJ;Des Sutehall;Cancelled;Business;On Time
LxyKQp;Darnall;Comfort;Male;72;Russia;Xinzhou Wutaishan Airport;CN;China;AS;Asia;4/27/2022;WUT;Darnall Comfort;Cancelled;Business;On Time
iFQFjC;Bernardo;Bigland;Male;79;Philippines;Bandar Lengeh Airport;IR;Iran, Islamic Republic of;AS;Asia;12/5/2022;BDH;Bernardo Bigland;Cancelled;Business;On Time
SyeYeN;Cymbre;Steeden;Female;55;Russia;Canarana Airport;BR;Brazil;SAM;South America;9/26/2022;CQA;Cymbre Steeden;Cancelled;Business;On Time
60NAQu;Leandra;Demer;Female;6;Colombia;C? Mau Airport;VN;Viet Nam;AS;Asia;1/13/2022;CAH;Leandra Demer;Cancelled;Business;On Time
YeE54F;Shermy;Gatchell;Male;66;Colombia;Tezu Airport;IN;India;AS;Asia;5/23/2022;TEI;Shermy Gatchell;Delayed;Business;On Time
87HYfh;Bryn;Pratley;Female;56;Maldives;Krasnoselkup Airport;RU;Russian Federation;EU;Europe;8/19/2022;KKQ;Bryn Pratley;On Time;Business;On Time
D2t44Q;Eran;Summerill;Female;62;Afghanistan;Monte Dourado Airport;BR;Brazil;SAM;South America;12/28/2022;MEU;Eran Summerill;On Time;Business;On Time
d8vBfU;Arlena;Ridwood;Female;65;Ireland;Awaba Airport;PG;Papua New Guinea;OC;Oceania;10/28/2022;AWB;Arlena Ridwood;Delayed;Business;On Time
2X9Cw7;Rozelle;Neubigin;Female;74;China;Al Thaurah Airport;SY;Syrian Arab Republic;AS;Asia;11/15/2022;SOR;Rozelle Neubigin;Delayed;Business;On Time
tv0aXR;Jacenta;Linner;Female;38;Argentina;Sibiu International Airport;RO;Romania;EU;Europe;12/24/2022;SBZ;Jacenta Linner;Cancelled;Business;On Time
oWtYRe;Mariann;Wilshin;Female;80;China;Panguitch Municipal Airport;US;United States;NAM;North America;10/19/2022;PNU;Mariann Wilshin;Delayed;Business;On Time
C6kNwj;Jedidiah;Malins;Male;66;Indonesia;Cue Airport;AU;Australia;OC;Oceania;10/16/2022;CUY;Jedidiah Malins;Cancelled;Business;On Time
jGK7IW;Rory;Wank;Female;84;Japan;Ilam Airport;IR;Iran, Islamic Republic of;AS;Asia;10/21/2022;IIL;Rory Wank;Cancelled;Business;On Time
7j5g5M;Modesty;Zink;Female;11;Ukraine;Soledade Airport;BR;Brazil;SAM;South America;10/3/2022;0;Modesty Zink;Cancelled;Business;On Time
K4mE4H;Newton;Berni;Male;52;Argentina;Helenvale Airport;AU;Australia;OC;Oceania;5/2/2022;HLV;Newton Berni;Delayed;Business;On Time
fe9vIa;Sybila;Troker;Female;8;Indonesia;Dalhart Municipal Airport;US;United States;NAM;North America;4/8/2022;DHT;Sybila Troker;On Time;Business;On Time
Txixyg;Jewel;Betteney;Female;66;China;Yam Island Airport;AU;Australia;OC;Oceania;12/27/2022;XMY;Jewel Betteney;On Time;Business;On Time
i8N6c7;Hobie;Skace;Male;70;China;St George Airport;AU;Australia;OC;Oceania;7/12/2022;SGO;Hobie Skace;Delayed;Business;On Time
zmLs0I;Loree;Fishpond;Female;37;Ukraine;Dallas Love Field;US;United States;NAM;North America;5/31/2022;DAL;Loree Fishpond;On Time;Business;On Time
HJjcbN;Gauthier;Elsip;Male;33;Uruguay;Gerrard Smith International Airport;KY;Cayman Islands;NAM;North America;6/11/2022;CYB;Gauthier Elsip;Cancelled;Business;On Time
Dbnam6;Gisella;Watters;Female;35;Philippines;RAF Wildenrath;DE;Germany;EU;Europe;2/17/2022;WID;Gisella Watters;Cancelled;Business;On Time
qScvIX;Flora;Delgardillo;Female;51;Philippines;General Lucio Blanco International Airport;MX;Mexico;NAM;North America;10/19/2022;REX;Flora Delgardillo;On Time;Business;On Time
XGQOHz;Dorthea;Wealleans;Female;6;China;Wantoat Airport;PG;Papua New Guinea;OC;Oceania;11/30/2022;WTT;Dorthea Wealleans;On Time;Business;On Time
X2Ltf0;Arlyn;Boole;Female;45;Philippines;Sofia Airport;BG;Bulgaria;EU;Europe;1/20/2022;SOF;Arlyn Boole;On Time;Business;On Time
zXX2BI;Jameson;Sayce;Male;53;Brazil;Ant?nio Guerreiro Airport;BR;Brazil;SAM;South America;9/16/2022;GMS;Jameson Sayce;On Time;Business;On Time
YLxT9W;Collin;Ciepluch;Male;54;China;Central Maine Airport of Norridgewock;US;United States;NAM;North America;4/13/2022;OWK;Collin Ciepluch;Delayed;Business;On Time
pPkCA0;Francoise;Mustill;Female;76;Netherlands;Lawson Army Air Field (Fort Benning);US;United States;NAM;North America;7/21/2022;LSF;Francoise Mustill;Delayed;Business;On Time
ccOroQ;Peterus;Lettson;Male;70;Botswana;Ust-Maya Airport;RU;Russian Federation;EU;Europe;11/10/2022;UMS;Peterus Lettson;Delayed;Business;On Time
z2zl1t;Yuri;Crossfield;Male;38;Peru;Dalby Airport;AU;Australia;OC;Oceania;5/15/2022;DBY;Yuri Crossfield;On Time;Business;On Time
D6SsuG;Kirbee;Wrenn;Female;45;Armenia;Lu?enec Airport;SK;Slovakia;EU;Europe;7/27/2022;LUE;Kirbee Wrenn;On Time;Business;On Time
ZzqP1s;Rici;Rein;Female;85;Russia;Meghauli Airport;NP;Nepal;AS;Asia;2/26/2022;MEY;Rici Rein;Delayed;Business;On Time
V30YQC;Anestassia;Vauls;Female;20;Albania;Nikolai Airport;US;United States;NAM;North America;8/11/2022;NIB;Anestassia Vauls;On Time;Business;On Time
zLM6wt;Virgil;Markussen;Male;79;Philippines;Bemidji Regional Airport;US;United States;NAM;North America;6/19/2022;BJI;Virgil Markussen;Cancelled;Business;On Time
A6Rssr;Marlin;Yegorev;Male;25;Egypt;Muhammad Salahuddin Airport;ID;Indonesia;AS;Asia;8/28/2022;BMU;Marlin Yegorev;Cancelled;Business;On Time
UFOM9h;Clemmie;Harbertson;Male;76;Ukraine;"Magdeburg ""City"" Airport";DE;Germany;EU;Europe;12/6/2022;ZMG;Clemmie Harbertson;Cancelled;Business;On Time
YfqTxa;Happy;Jaskowicz;Female;82;Mexico;Tsletsi Airport;DZ;Algeria;AF;Africa;11/1/2022;QDJ;Happy Jaskowicz;Cancelled;Business;On Time
RDnvan;Quentin;Plaschke;Male;37;Syria;Groote Eylandt Airport;AU;Australia;OC;Oceania;3/30/2022;GTE;Quentin Plaschke;On Time;Business;On Time
NzdL85;Paulie;Dunnet;Male;37;Serbia;Lemhi County Airport;US;United States;NAM;North America;1/23/2022;SMN;Paulie Dunnet;Delayed;Business;On Time
ivypYb;Wilma;Burdytt;Female;72;Poland;Green River Airport;PG;Papua New Guinea;OC;Oceania;7/11/2022;GVI;Wilma Burdytt;On Time;Business;On Time
6mWhFX;Cobbie;Imorts;Male;18;Croatia;Kenai Municipal Airport;US;United States;NAM;North America;7/3/2022;ENA;Cobbie Imorts;Delayed;Business;On Time
mrnMHX;Murry;Entreis;Male;86;Russia;Margaret River (Station) Airport;AU;Australia;OC;Oceania;12/15/2022;MGV;Murry Entreis;On Time;Business;On Time
bVouYw;George;Wildber;Female;32;Brazil;Abraham Lincoln Capital Airport;US;United States;NAM;North America;4/25/2022;SPI;George Wildber;Delayed;Business;On Time
